txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
1 -1 1 -1840 891 -949 -1746160 -845559 -2.06826e+06 2.07505e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 -1340 1546 206 276040 318476 -2.0754e+06 2.08191e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 -638 1945 1307 833866 2542115 -2.08057e+06 2.08658e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 171 2036 2207 -377397 4493452 -2.08421e+06 2.08954e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 947 1812 2759 -2612773 4999308 -2.08665e+06 2.0912e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 1585 1289 2874 -4555290 3704586 -2.08818e+06 2.09192e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 1971 548 2519 -4964949 1380412 -2.08903e+06 2.09202e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 2028 -267 1761 -3571308 -470187 -2.0894e+06 2.09176e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 1768 -1029 739 -1306552 -760431 -2.08948e+06 2.09131e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 1215 -1645 -430 522450 707350 -2.08941e+06 2.09079e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 487 -1986 -1499 730013 2977014 -2.08928e+06 2.09023e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 -331 -2019 -2350 -777850 4744650 -2.0891e+06 2.08966e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 -1087 -1735 -2822 -3067514 4896170 -2.08887e+06 2.0891e+06 -2.0891e+06 2.08966e+06 1
1 -1 1 -1683 -1163 -2846 -4789818 3309898 -2.0886e+06 2.08857e+06 -2.0891e+06 2.08966e+06 1
0 -1 -1 -2002 425 -1577 -3157154 670225 -2.0883e+06 2.08809e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -2009 -393 -2402 -4825618 -943986 -2.08799e+06 2.08765e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1683 -1163 -2846 -4789818 -3309898 -2.08765e+06 2.08725e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1083 -1735 -2818 -3051894 -4889230 -2.08731e+06 2.08684e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -331 -2019 -2350 -777850 -4744650 -2.08703e+06 2.08634e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 487 -1986 -1499 730013 -2977014 -2.08689e+06 2.08559e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1215 -1645 -430 522450 -707350 -2.08701e+06 2.0843e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1766 -1029 737 -1301542 758373 -2.08749e+06 2.08205e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 2028 -267 1761 -3571308 470187 -2.08845e+06 2.07833e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1971 548 2519 -4964949 -1380412 -2.08996e+06 2.07249e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1589 1289 2878 -4573142 -3709742 -2.09213e+06 2.06376e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 947 1812 2759 -2612773 -4999308 -2.0951e+06 2.05127e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 175 2036 2211 -386925 -4501596 -2.09901e+06 2.03397e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -642 1945 1303 836526 -2534335 -2.10402e+06 2.01068e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1342 1546 204 273768 -315384 -2.11025e+06 1.98011e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1842 891 -951 -1751742 847341 -2.11778e+06 1.94086e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -2043 110 -1933 -3949119 212630 -2.12658e+06 1.89155e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1925 -684 -2609 -5022325 -1784556 -2.13656e+06 1.83087e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1482 -1410 -2892 -4285944 -4077720 -2.14759e+06 1.75768e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -832 -1868 -2700 -2246400 -5043600 -2.15946e+06 1.67103e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -14 -2045 -2059 -28826 -4210655 -2.17196e+06 1.57022e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 772 -1892 -1120 864640 -2119040 -2.18483e+06 1.45486e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1434 -1454 -20 28680 -29080 -2.19776e+06 1.32489e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1905 -743 1162 -2213610 863366 -2.21037e+06 1.18063e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 2044 48 2092 -4276048 -100416 -2.22224e+06 1.02286e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1856 860 2716 -5040896 -2335760 -2.23297e+06 852783 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1385 1504 2889 -4001265 -4345056 -2.24213e+06 672052 -2.08692e+06 -2.09721e+06 0
0 -1 -1 654 1935 2589 -1693206 -5009715 -2.24942e+06 482687 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -110 2043 1933 212630 -3949119 -2.25459e+06 287004 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -889 1840 951 845439 -1749840 -2.25749e+06 87516.9 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1566 1316 -250 -391500 329000 -2.25803e+06 -113148 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1951 608 -1343 -2620193 816544 -2.25619e+06 -312337 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -2034 -205 -2239 -4554126 -458995 -2.25201e+06 -507436 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1798 -975 -2773 -4985854 -2703675 -2.24562e+06 -695956 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1265 -1607 -2872 -3633080 -4615304 -2.23722e+06 -875617 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -517 -1980 -2497 -1290949 -4944060 -2.22711e+06 -1.04444e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 267 -2028 -1761 470187 -3571308 -2.21567e+06 -1.20083e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1059 -1751 -692 732828 -1211692 -2.20331e+06 -1.34363e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1645 -1215 430 -707350 522450 -2.19046e+06 -1.47212e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1994 -455 1539 -3068766 700245 -2.17748e+06 -1.58603e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 2013 363 2376 -4782888 -862488 -2.16471e+06 -1.68546e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1716 1111 2827 -4851132 -3140797 -2.15242e+06 -1.77085e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1137 1700 2837 -3225669 -4822900 -2.14088e+06 -1.84293e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 393 2009 2402 -943986 -4825618 -2.13028e+06 -1.90267e+06 -2.08692e+06 -2.09721e+06 0
