Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 0), (-1289,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1589, 1), (-1289,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 0), (-1438,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1454, 1), (-1438,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
